actual_failed,actual_hashin_fi,predicted_probability,predicted_class,distance_from_boundary
1,1.0377901177727449,0.0046239183,0,0.03779011777274488
0,0.9608130865790636,0.90603286,1,0.03918691342093639
0,0.9604622252318202,0.51990557,1,0.03953777476817977
1,1.0402812672407202,0.46831372,0,0.04028126724072023
1,1.0418657700609617,0.36383078,0,0.041865770060961705
1,1.0420076316248477,0.0024517006,0,0.04200763162484766
0,0.956901690222796,0.9918807,1,0.04309830977720397
1,1.043183824719084,0.0015630858,0,0.04318382471908411
0,0.954484736065269,0.7854958,1,0.04551526393473104
0,0.9540024510150742,0.99996245,1,0.04599754898492581
0,0.9534906181717708,1.0,1,0.04650938182822917
1,1.048656004135501,0.40745488,0,0.048656004135501085
0,0.9505769067916794,0.7667205,1,0.04942309320832061
1,1.0504805478226678,0.47013098,0,0.050480547822667754
0,0.94856377191716,0.52731466,1,0.051436228082839985
1,1.0515663704242952,0.44384935,0,0.05156637042429524
0,0.9476581210041526,0.9662847,1,0.05234187899584741
1,1.0603876197591102,0.07260396,0,0.06038761975911022
1,1.0610031838021323,0.014544946,0,0.06100318380213232
1,1.0712648582000086,0.26960516,0,0.07126485820000861
1,1.0735591683624446,0.21163632,0,0.07355916836244458
0,0.9240432800425348,0.78113145,1,0.07595671995746522
1,1.0802654041908604,0.0005595141,0,0.08026540419086037
1,1.0807758777792649,0.42367405,0,0.08077587777926487
1,1.0817773727410225,0.056225266,0,0.08177737274102248
0,0.9073965853974482,0.5955401,1,0.09260341460255184
0,0.9052324826018256,0.94354594,1,0.09476751739817435
1,1.1188859474262256,0.24281806,0,0.1188859474262256
1,1.123943129864431,0.11666939,0,0.1239431298644309
1,1.141041590038144,0.047513593,0,0.1410415900381441
1,1.3727469354226485,0.35540223,0,0.3727469354226485
