Nx,Ny,Nxy,Mx,My,Mxy,max_stress_fi,tsai_hill_fi,tsai_wu_fi,hashin_fi,hashin_mode,failed,hashin_ply,hashin_surface
178162.21632620148,116938.60048589177,-93986.17408915318,-196273.0105096819,-387258.3436707328,-70997.17415726418,18135.2449390743,329213688.3975857,79155322.1889308,329069334.4075562,matrix_tension,True,1,bottom
3678.4003112179726,-4733.054300229972,3933.807910802427,-13203.121078921386,-2514.8629684823586,841.4145824790022,128.25940685370392,16765.4637325819,7209.706043864496,16679.697582094053,matrix_tension,True,2,bottom
98664.53022153175,42999.48926419669,83383.36136109802,-85884.42347748896,112015.49035453114,203233.5034968318,3155.3600439634674,18323505.811952814,10433836.615024729,14486941.913690511,matrix_tension,True,8,top
-128523.47091083776,193399.21085229472,-27703.406172660118,203249.83758317903,-64071.76302851101,210666.24196244185,8027.3554817666145,78467672.32405308,28748630.107280694,76418369.60996902,matrix_tension,True,1,bottom
16149.600810116455,97857.28450145175,-22625.08390981435,-58857.6672704546,-28053.153804257316,28288.913072344803,1742.8770856679,3326816.850353643,1109587.5776336347,3281462.3651881954,matrix_tension,True,1,bottom
80607.61978213533,-68127.14641474266,145139.87407542643,-302752.05270427896,-99460.53171926035,-213252.37425583074,3059.960645594691,16781956.402269855,9515128.42173974,9483889.27697524,matrix_tension,True,3,bottom
60985.25704238082,-44132.76826947547,-62391.69825914434,-39197.68629796566,50082.32493074904,-248341.9375820761,8500.18460592712,79626840.171806,29139337.211099885,73841126.1493074,matrix_tension,True,7,top
133267.36079432355,77434.17053280742,111923.27118607731,59612.001257164666,409269.3154594766,-17515.3257228306,21475.02473312029,466400009.01537806,114927666.32256848,464571795.95162463,matrix_tension,True,8,top
-118915.69647514685,-162903.43925943685,-196392.584988152,-140262.88391191608,-11154.212573478706,52755.78368969677,2224.232651880753,5169529.199646508,1693935.8961162018,4989277.669304879,matrix_tension,True,2,bottom
-74925.00404222906,88103.49318505506,72368.31416447747,-15625.210792494016,-63902.665521161034,53676.12100517046,4240.609042914951,19178716.893225145,5504574.542608695,19164719.08058195,matrix_tension,True,1,bottom
-200698.34055378544,-9421.495574914274,36315.974516103626,-124690.18139049626,26310.708302643045,-201626.24292392234,6261.226943476233,44940715.406147055,18014521.579869226,41021841.42546487,matrix_tension,True,8,top
180998.359188712,-36624.24273627235,52714.16288831411,-349526.76533894875,-167712.67411791664,-42608.680755130445,6482.860029350774,43333439.10766349,12065370.586547963,42037479.54739416,matrix_tension,True,1,bottom
115755.82835376477,323628.0133035926,-190650.45085221456,-135696.7348143615,38150.41307020097,261054.03494843174,6971.886268688908,57250638.700697236,18269494.73840216,48630789.84425485,matrix_tension,True,2,bottom
42869.88659836859,313524.2970891718,-284339.1822612282,-220527.41230227513,-72921.01648978202,-89615.77949735869,1750.9400007795568,3257824.264912061,2316046.2971807937,3084771.484172967,matrix_tension,True,3,bottom
40348.531418215636,-296355.19102110487,86055.10612251122,-96428.3413015088,212787.11078426483,-104784.67595004673,13440.32539875045,188573937.37578836,50363257.57576985,186433911.30743176,matrix_tension,True,8,top
80309.98728586771,113226.82850746164,66502.96065132509,-250161.50678575932,79850.332464878,-153502.8906482541,8031.555297797606,74738863.03926292,24552767.898362234,71308430.18421985,matrix_tension,True,8,top
-78834.03096595872,24713.438914849965,-44662.432415953175,-71021.15199475939,39525.15114084843,13380.17205384219,2139.3704879119373,5001125.752115768,1391817.7615342038,4584492.920972001,matrix_tension,True,8,top
173748.94682313545,-52759.1028593442,3844.236388336116,32196.877974244133,-74192.30476632882,56408.92219702223,5037.054453866186,26929880.41915513,7544099.442581121,26696013.703825403,matrix_tension,True,1,bottom
-15172.128693951146,50224.161306591566,-38353.828236518726,-88930.0429901878,59375.77258253864,93962.90309366482,1809.5112984260086,5746796.634614047,3019469.5669070478,4912731.693730792,matrix_tension,True,8,top
-146081.597113752,-23417.546624811443,-21587.71397836956,-14324.573064263932,-83974.75677378618,43712.078936101956,5117.579210183596,27254583.711591665,7322053.674286863,27203181.32141521,matrix_tension,True,1,bottom
-163599.64064376891,76544.36822742438,224717.1189317489,18825.309687397752,-36928.57853491039,-15545.762501976922,1736.305948463925,3114791.974169682,792336.0837957117,3027170.8096958683,matrix_tension,True,1,bottom
-24221.156706211437,2300.6866035053176,-5464.634930145043,25860.74623403122,-2437.588428685606,23342.47991861795,677.4164698933911,594237.639739461,255082.08269572543,568583.3658966686,matrix_tension,True,1,bottom
168203.07796451575,91482.79074952964,-248912.96764812426,50809.88801474013,347290.27995491127,-92740.58943497376,19620.67417950451,393872901.56817174,100643259.52015395,392716019.8790835,matrix_tension,True,8,top
-3147.5586351842326,-161729.64005830823,-61353.34645891694,-14621.922577644838,-305682.0249311888,-289553.5843257823,10734.407174142856,128740491.00666793,40313531.04037509,126589994.81877571,matrix_tension,True,1,bottom
-28077.111853381375,-137761.69532158383,42156.811999991616,14629.964721656954,-38344.79889596094,-70731.7136324358,1073.5114526435418,2144857.2775927507,1162133.0388605483,1576770.7118132543,matrix_tension,True,1,bottom
32554.206544247663,222022.5807952483,39155.23702283792,36128.08257215587,-15555.16424997346,76111.18619550242,2545.1975268068963,7256793.240749483,2875483.7854882535,7002962.604092749,matrix_tension,True,1,bottom
182368.75485281492,-75953.59276003885,-63436.23251996838,-69802.43114692267,115215.022660757,218304.08365286424,3466.2589912015355,21360213.688073996,11354136.302800968,14876363.050739508,matrix_tension,True,8,top
-4837.213704381413,3576.630455537725,-2798.668604219347,10841.74156015109,-25642.65927176878,-9414.303947666893,1220.515908595851,1528592.650285983,383621.97521435004,1492639.6556079974,matrix_tension,True,1,bottom
-51512.830730339556,-21393.15855198046,-20316.831484375238,-4464.603695300502,24708.2875557441,-5440.444387011003,1410.426589219646,2037829.052557929,519059.23859412124,2020563.274632137,matrix_tension,True,8,top
-6768.649777915063,124686.96347037636,-115985.89477148185,-108215.47069833831,66379.64609305137,-26328.021411315618,4421.195285736172,20878681.053598065,5700444.76726959,19933444.346717082,matrix_tension,True,8,top
-1345.4341024370724,69176.85964150664,-102048.11608516546,-1191.4229754850962,-20771.88064559195,-119874.40994719519,2940.8083462913746,10624863.560587043,3535105.8260221095,8658576.668386493,matrix_tension,True,7,top
58984.485244009804,-30187.05757565548,-87931.11340494672,-8272.800680596829,97026.18337572338,-196176.94063822136,8637.83985464248,86486930.94618276,29728225.22811246,86401040.69243674,matrix_tension,True,8,top
-132841.65532651398,210324.2723824477,40675.99314562774,110448.79169978066,-164116.46867872874,-161147.6690056649,6179.691657156175,44414607.28093654,14583485.307605578,41968097.29127343,matrix_tension,True,1,bottom
1442.5034452182633,13583.298581554749,-4645.545416586655,6885.077481560469,3914.0273439268317,19252.595788293816,438.49051528811293,247201.14143198988,87815.6466028271,193296.6708575303,matrix_tension,True,2,bottom
-5226.291985788392,-7250.499842799088,3231.9923806771367,3832.0300355370896,-3292.898405467245,-6000.500603607633,97.0509395065993,16808.746740056416,9929.373295644866,13492.170625474699,matrix_tension,True,1,bottom
186070.15310957207,359330.6318431373,103205.43953986777,-74304.4072419075,-178532.5814955968,2289.058973023581,9061.383708015215,82721693.50351048,20275740.427435145,82653846.38643849,matrix_tension,True,1,bottom
-121358.12717539951,244942.38013590546,213428.769391171,135822.18474080853,-110093.79673628752,102223.25354774305,8193.52628457619,72626516.37159726,20983714.28539722,70988370.24551529,matrix_tension,True,1,bottom
44263.27858800388,124991.1395156088,63549.62825319823,74015.99859797632,63703.17253968702,34085.85286528556,2398.465420095586,5839381.626617719,1487062.50783967,5822678.109925411,matrix_tension,True,8,top
12027.501693436718,-79998.96597946931,-184083.8429977177,241901.35864162957,248687.2333436539,195501.2848201546,8446.018662460592,75495852.84319252,21399815.863265645,75445242.86646435,matrix_tension,True,8,top
373164.9477604889,3330.179810705319,56030.96970841988,-302115.7984594744,109684.94299897656,16684.06094066431,6763.468456911619,51784302.251529686,15177529.953039128,45745935.530255295,matrix_tension,True,8,top
-11157.697730592869,-17375.948410782894,391753.4297934923,194881.3452985748,2494.374101296284,54219.73043932468,1696.1418304698177,4933322.876057636,2343920.8136254647,3460448.2493059942,matrix_tension,True,1,bottom
-35761.204121983705,-190765.06723768506,-26621.117482627156,-131491.04571619525,-220353.413538108,90096.83428210129,12575.351649606346,163372101.13802445,43238635.29434468,163395068.24231333,matrix_tension,True,1,bottom
-218864.28415093847,-15028.360932522433,121969.30368654497,129750.52933634055,125660.77259160498,4766.706983833146,5923.581762660774,35333144.46827109,8739492.06399571,35290737.379531324,matrix_tension,True,8,top
-256411.19936390378,81536.08244565179,89740.47590643147,304592.11173074367,260263.3631224841,-31286.283195573804,12851.272463120555,168082668.2408688,43040967.96454459,167679417.75259033,matrix_tension,True,8,top
-19510.685094360404,13281.860902659626,-12355.69117207681,-35333.365296125055,15461.779970204738,-30812.77819271076,1517.3670867963012,2654444.2212935444,878658.3659100769,2580269.46511889,matrix_tension,True,8,top
24207.762349442917,-31244.990490361735,18973.084801298475,21234.862328054656,-88562.45130720056,-37404.60665695109,4056.392113980375,16827011.651503067,4202242.422971781,16521373.119243598,matrix_tension,True,1,bottom
-142206.26685653892,-259019.73497936415,-227838.1520422671,3562.2492141877624,3783.4164032810827,-14392.303201747252,532.394812979668,304824.04006256955,105531.86875615508,287410.9101095227,matrix_tension,True,7,top
-313105.7585775909,46381.16546422584,182912.6737491819,-132112.42998343863,-44491.94627017285,-88196.5571646485,1312.1110401702,2686060.5865236553,1626914.5949741798,1740007.5750959634,matrix_tension,True,3,bottom
-38854.576891196746,169999.37431284593,218814.57467457405,-40007.03805265252,226873.8235839031,4236.80642929716,11974.11846341925,145531335.2426155,35884071.80593611,143980106.8738041,matrix_tension,True,8,top
